,index,model_names,ratings,price,imgURL,battery,storage,ram,processor,android_version
306,307,"REDMI A2+ (Classic Black, 64 GB)",4.2,8288,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/c/s/a2-202580min-redmi-original-imagq2vdn4xj2drn.jpeg?q=70,5000,64,4,not mentioned,13
307,308,"REDMI Note 12 5G (Frosted Green, 256 GB)",4.0,20999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/r/i/note-12-5g-mzb0ei8in-redmi-original-imagpgr9gpmjjnwa.jpeg?q=70,5000,256,8,Gen4,12
308,309,"REDMI A2 (Aqua Blue, 64 GB)",4.1,7530,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/y/x/a2-mobzc1pin-redmi-original-imagpuzrt9tjdcdz.jpeg?q=70,5000,64,4,not mentioned,13
309,310,"REDMI Note 12 5G (Matte Black, 256 GB)",4.0,20999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/9/8/-original-imagpgsg2hvvtcef.jpeg?q=70,5000,256,8,Gen4,12
310,311,"REDMI NOTE 10 LITE (Aurora Blue, 64 GB)",4.3,13199,https://rukminim2.flixcart.com/image/312/312/kv1a4cw0/mobile/3/r/p/note-10-lite-2109106a1i-redmi-original-imag8yvazxeycrjd.jpeg?q=70,5020,64,4,not mentioned,11
311,312,"REDMI Note 12 5G (Mystique Blue, 256 GB)",4.0,20999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/0/g/w/note-12-5g-mzb0eiain-redmi-original-imagpgr9ngapjhxq.jpeg?q=70,5000,256,8,Gen4,12
312,313,"REDMI 9 Prime (Matte Black, 64 GB)",4.4,10499,https://rukminim2.flixcart.com/image/312/312/ke0a7ww0/mobile/u/v/h/mi-redmi-9-prime-m2004j191-original-imafushhnazgtpzr.jpeg?q=70,5020,64,4,Heilo80P,10
313,314,"REDMI Note 9 Pro Max (Interstellar Black, 64 GB)",4.4,15990,https://rukminim2.flixcart.com/image/312/312/kdnf98w0/mobile/t/q/x/mi-redmi-note-9-pro-max-redmi-note-9-pro-max-original-imafug8czmh33peh.jpeg?q=70,5020,64,6,Snapdragon720G,10
314,315,"REDMI Note 10S (Cosmic Purple, 128 GB)",4.4,17990,https://rukminim2.flixcart.com/image/312/312/kyeqjrk0/mobile/u/0/8/-original-imagan9qhw9nyhce.jpeg?q=70,5000,128,6,Heilo95P,11
315,316,"REDMI A2+ (?Aqua Blue, 64 GB)",4.2,8287,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/7/e/i/a2-plus-a2-redmi-original-imagqfxuubw4zgbz.jpeg?q=70,5000,64,4,not mentioned,13
316,317,"REDMI A2 (Aqua Blue, 32 GB)",3.9,6549,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/y/x/a2-mobzc1pin-redmi-original-imagpuzrt9tjdcdz.jpeg?q=70,5000,32,2,not mentioned,13
317,318,"REDMI Note 10S (Frost White, 128 GB)",4.2,18499,https://rukminim2.flixcart.com/image/312/312/kyeqjrk0/mobile/z/i/b/-original-imagan9qprtsdkab.jpeg?q=70,5000,128,8,Heilo95P,11
318,320,"REDMI 9 Power (Electric Green, 64 GB)",4.3,13999,https://rukminim2.flixcart.com/image/312/312/kj0bp8w0-0/mobile/p/n/c/9-power-mobhqab5-redmi-original-imafyz7aqsrggzgh.jpeg?q=70,6000,64,4,Snapdragon662P,10
319,321,"REDMI Note 9 (Arctic White, 128 GB)",4.3,14990,https://rukminim2.flixcart.com/image/312/312/kd69z0w0/mobile/s/h/p/mi-redmi-note-9-b086982zkf-original-imafu4qfyyyrg8er.jpeg?q=70,5020,128,4,Heilo85P,10
